#
# Results on Wednesday March 25 2020 12:48:15 UTC.
# USER AGENT: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
# Design number was non-random = 0
#
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Field name.
# 9. Field value.
1585140495,635dab3af851ec965111bc7fe5fe1ae9,Form,1,0,intro,NULL,consent,yes
1585140495,635dab3af851ec965111bc7fe5fe1ae9,Form,1,0,intro,NULL,understand,yes
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Question (NULL if none).
# 9. Answer.
# 10. Whether or not answer was correct (NULL if N/A).
# 11. Time taken to answer.
1585140495,635dab3af851ec965111bc7fe5fe1ae9,Question,47,0,control-item10,NULL,<p><img src="https://github.com/alsugiharto/experiment-design/blob/master/images/filler_10.png?raw=true" alt="Italian Trulli"></p><p>Select the video you most likely click by selecting the number bellow.</p><p>The number follows the order of the video.</p>,1,NULL,28755
1585140495,635dab3af851ec965111bc7fe5fe1ae9,Question,6,0,exp_1_downright_emoji_with,1,<p><img src="https://github.com/alsugiharto/experiment-design/blob/master/images/exp_1_downright_emoji_with.png?raw=true" alt="Italian Trulli"></p><p>Select the video you most likely click by selecting the number bellow.</p><p>The number follows the order of the video.</p>,4,NULL,31889
1585140495,635dab3af851ec965111bc7fe5fe1ae9,Question,46,0,control-item9,NULL,<p><img src="https://github.com/alsugiharto/experiment-design/blob/master/images/filler_9.png?raw=true" alt="Italian Trulli"></p><p>Select the video you most likely click by selecting the number bellow.</p><p>The number follows the order of the video.</p>,2,NULL,11436
1585140495,635dab3af851ec965111bc7fe5fe1ae9,Question,22,0,exp_5_downleft_emoji_with,5,<p><img src="https://github.com/alsugiharto/experiment-design/blob/master/images/exp_5_downleft_emoji_with.png?raw=true" alt="Italian Trulli"></p><p>Select the video you most likely click by selecting the number bellow.</p><p>The number follows the order of the video.</p>,1,NULL,6331
1585140495,635dab3af851ec965111bc7fe5fe1ae9,Question,45,0,control-item8,NULL,<p><img src="https://github.com/alsugiharto/experiment-design/blob/master/images/filler_8.png?raw=true" alt="Italian Trulli"></p><p>Select the video you most likely click by selecting the number bellow.</p><p>The number follows the order of the video.</p>,1,NULL,10093
1585140495,635dab3af851ec965111bc7fe5fe1ae9,Question,48,0,control-item11,NULL,<p><img src="https://github.com/alsugiharto/experiment-design/blob/master/images/filler_11.png?raw=true" alt="Italian Trulli"></p><p>Select the video you most likely click by selecting the number bellow.</p><p>The number follows the order of the video.</p>,2,NULL,13370
1585140495,635dab3af851ec965111bc7fe5fe1ae9,Question,37,0,exp_8_topleft_emotion_without,8,<p><img src="https://github.com/alsugiharto/experiment-design/blob/master/images/exp_8_topleft_emotion_without.png?raw=true" alt="Italian Trulli"></p><p>Select the video you most likely click by selecting the number bellow.</p><p>The number follows the order of the video.</p>,3,NULL,6210
1585140495,635dab3af851ec965111bc7fe5fe1ae9,Question,42,0,control-item5,NULL,<p><img src="https://github.com/alsugiharto/experiment-design/blob/master/images/filler_5.png?raw=true" alt="Italian Trulli"></p><p>Select the video you most likely click by selecting the number bellow.</p><p>The number follows the order of the video.</p>,2,NULL,6987
1585140495,635dab3af851ec965111bc7fe5fe1ae9,Question,32,0,exp_7_topright_emotion_with,7,<p><img src="https://github.com/alsugiharto/experiment-design/blob/master/images/exp_7_topright_emotion_with.png?raw=true" alt="Italian Trulli"></p><p>Select the video you most likely click by selecting the number bellow.</p><p>The number follows the order of the video.</p>,3,NULL,6961
#
# Results on Wednesday March 25 2020 13:12:34 UTC.
# USER AGENT: Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-N770F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.1 Chrome/75.0.3770.143 Mobile Safari/537.36
